Age,Attrition,DailyRate,DistanceFromHome,HourlyRate,MonthlyIncome,MonthlyRate,OverTime,StockOptionLevel,TotalWorkingYears,YearsAtCompany
42,Yes,933,19,57,2759,20366,Yes,0,7,2
43,No,775,15,47,6804,23683,No,1,7,2
34,No,970,8,96,6142,7360,No,0,10,5
23,No,650,9,37,2500,4344,No,1,5,4
39,No,141,3,44,6389,18767,No,1,12,8
56,No,832,9,81,11103,20420,No,0,30,10
40,No,804,2,86,2342,22929,Yes,0,5,4
27,No,975,7,55,6811,23398,No,0,9,7
29,No,1090,10,83,2297,17967,No,2,2,2
53,No,346,6,86,2450,10919,No,0,19,2
35,No,1225,2,61,5093,4761,No,1,16,1
32,No,430,24,80,5309,21146,No,2,10,10
38,No,268,2,92,3057,20471,Yes,1,6,1
34,No,167,8,32,5121,4187,No,1,7,0
52,No,621,3,31,16856,10084,No,0,34,34
33,Yes,527,1,63,2686,5207,Yes,0,10,10
25,No,883,26,32,6180,22807,No,0,6,6
45,No,954,2,46,6632,12388,No,0,9,8
23,No,310,10,79,3505,19630,No,0,2,2
47,Yes,719,27,77,6397,10339,Yes,0,8,5
34,No,304,2,60,6274,18686,No,0,6,6
55,Yes,725,2,78,19859,21199,Yes,1,24,5
36,No,1434,8,76,7587,14229,No,0,10,10
52,No,715,19,41,4258,26589,No,1,5,4
26,No,575,1,71,4364,5288,No,1,5,2
29,No,657,27,66,4335,25549,No,1,11,8
26,Yes,1146,8,38,5326,3064,No,0,6,4
34,No,182,1,72,3280,13551,No,0,10,4
54,No,376,19,95,5485,22670,Yes,2,9,5
27,No,829,8,84,4342,24008,No,1,5,4
37,No,571,10,82,2782,19905,Yes,2,6,5
38,No,240,2,75,5980,26085,Yes,0,17,15
34,No,121,2,86,4381,7530,No,0,6,6
35,No,384,8,72,2572,20317,No,1,3,3
30,No,921,1,38,3833,24375,No,2,7,2
40,No,791,2,38,4244,9931,No,1,8,8
34,No,1111,8,93,6500,13305,No,1,6,3
42,No,570,8,66,18430,16225,No,1,24,24
23,Yes,1243,6,63,1601,3445,Yes,2,1,0
24,No,1092,9,60,2694,26551,No,3,1,1
52,No,1325,11,82,3149,21821,No,1,9,5
50,No,691,2,64,17639,6881,No,0,30,4
29,Yes,805,1,36,2319,6689,Yes,1,1,1
33,No,213,7,49,11691,25995,No,0,14,13
33,Yes,118,16,69,5324,26507,No,0,6,3
47,No,202,2,33,16752,12982,Yes,1,26,26
36,No,676,1,35,5228,23361,No,1,10,9
29,No,1252,23,81,2700,23779,No,1,10,10
58,Yes,286,2,31,19246,25761,Yes,0,40,31
35,No,1258,1,40,2506,13301,No,0,7,2
42,No,932,1,43,6062,4051,Yes,1,8,4
28,Yes,890,2,46,4382,16374,No,0,5,2
36,No,1041,13,36,2143,25527,No,1,8,5
32,No,859,4,98,6162,19124,No,1,14,14
40,No,720,16,51,5094,11983,No,0,10,1
30,No,946,2,52,6877,20234,Yes,0,12,0
45,No,252,2,95,2274,6153,No,0,1,1
42,No,933,29,98,4434,11806,No,1,10,9
38,No,471,12,45,6288,4284,No,1,13,4
34,No,702,16,100,2553,8306,No,0,6,5
49,Yes,1184,11,43,7654,5860,No,2,9,9
55,Yes,436,2,37,5160,21519,No,0,12,9
43,No,589,14,94,17159,5200,No,1,22,4
27,No,269,5,42,12808,8842,Yes,1,9,9
35,No,950,7,59,10221,18869,No,0,17,8
28,No,760,2,81,4779,3698,Yes,0,8,8
34,No,829,3,88,3737,2243,No,1,4,3
26,Yes,887,5,88,2366,20898,Yes,1,8,8
27,No,443,3,50,1706,16571,No,3,0,0
51,No,1318,26,66,16307,5594,No,1,29,20
44,No,625,4,50,5933,5197,No,0,10,5
25,No,180,2,65,3424,21632,No,0,6,4
33,No,586,1,48,4037,21816,No,1,9,9
35,No,1343,27,53,2559,17852,No,0,6,6
36,No,928,1,56,6201,2823,Yes,1,18,18
32,No,117,13,73,4403,9250,No,1,8,5
30,No,1012,5,75,3761,2373,No,1,10,5
53,No,661,7,78,10934,20715,Yes,1,35,5
45,No,930,9,74,10761,19239,Yes,1,18,5
32,No,638,8,91,5175,22162,No,1,9,5
52,No,890,25,81,13826,19028,No,0,31,9
37,No,342,16,66,6334,24558,No,2,9,1
28,No,1169,8,63,4936,23965,No,1,6,5
22,No,1230,1,33,4775,19146,No,2,4,2
44,No,986,8,62,2818,5044,Yes,1,10,3
42,No,1271,2,35,2515,9068,Yes,0,8,2
36,No,1278,8,77,2342,8635,No,0,6,5
25,No,141,3,98,4194,14363,Yes,0,5,5
35,No,607,9,66,10685,23457,Yes,1,17,17
35,Yes,130,25,96,2022,16612,Yes,1,10,10
32,No,300,1,61,2314,9148,No,1,4,3
25,No,583,4,87,4256,18154,No,0,5,5
49,No,1418,1,36,3580,10554,No,1,7,4
24,No,1269,4,46,3162,10778,No,0,6,5
32,No,379,5,48,6524,8891,No,1,10,10
38,No,395,9,98,2899,12102,No,1,3,2
42,No,1265,3,95,5231,23726,Yes,1,17,5
31,No,1222,11,48,2356,14871,Yes,1,8,6
29,Yes,341,1,48,2800,23522,Yes,3,5,3
53,No,868,8,73,11836,22789,No,1,28,2
35,No,672,25,78,10903,9129,No,0,16,13
37,No,1231,21,54,2973,21222,No,1,10,5
53,No,102,23,72,14275,20206,No,0,33,12
43,No,422,1,33,5562,21782,No,1,12,5
47,No,249,2,35,4537,17783,Yes,1,8,7
37,No,1252,19,32,7642,4814,Yes,0,10,10
50,No,881,2,98,17924,4544,No,1,31,31
39,No,1383,2,42,5204,7790,No,2,13,5
33,No,1075,3,57,2277,22650,Yes,1,7,4
32,Yes,374,25,87,2795,18016,Yes,0,1,1
29,No,1086,7,62,2532,6054,No,3,8,4
44,No,661,9,61,2559,7508,Yes,0,8,8
28,No,821,5,98,4908,24252,No,0,4,4
58,Yes,781,2,57,2380,13384,Yes,1,3,1
43,No,177,8,55,4765,23814,No,1,4,1
20,Yes,500,2,49,2044,22052,No,0,2,2
21,Yes,1427,18,65,2693,8870,No,0,1,1
36,No,1425,14,68,6586,4821,Yes,1,17,16
47,No,1454,2,65,3294,13137,Yes,0,3,3
22,Yes,617,3,34,4171,10022,Yes,1,4,3
41,Yes,1085,2,57,2778,17725,Yes,1,10,7
28,No,995,9,77,2377,9834,No,1,6,2
39,Yes,1122,6,70,2404,4303,Yes,0,8,2
27,No,618,4,76,2318,17808,No,0,1,1
34,No,546,10,83,2008,6896,No,2,1,1
42,No,462,14,68,6244,7824,No,0,10,5
33,No,1198,1,100,2799,3339,Yes,0,6,3
58,No,1272,5,37,10552,9255,Yes,1,24,6
31,No,154,7,41,2329,11737,No,0,13,7
35,No,1137,21,51,4014,19170,Yes,1,10,10
49,No,527,8,51,7403,22477,No,1,29,26
48,No,1469,20,51,2259,5543,No,2,13,0
31,No,1188,20,45,6932,24406,No,1,9,9
36,No,188,7,65,4678,23293,No,0,8,6
38,No,1333,1,80,13582,16292,No,1,15,15
32,No,1184,1,70,2332,3974,No,0,5,3
25,Yes,867,19,36,2413,18798,Yes,3,1,1
40,No,658,10,67,9705,20652,No,1,11,1
26,No,1283,1,52,4294,11148,No,0,7,7
41,No,263,6,59,4721,3119,Yes,0,20,18
36,No,938,2,79,2519,12287,No,0,16,11
19,Yes,419,21,37,2121,9947,Yes,0,1,1
20,Yes,129,4,84,2973,13008,No,0,1,1
31,No,616,12,41,5855,17369,Yes,2,10,9
40,No,1469,9,35,3617,25063,Yes,1,3,1
32,No,498,3,93,6725,13554,No,1,8,8
36,Yes,530,3,51,10325,5518,Yes,1,16,16
33,No,1069,1,42,6949,12291,No,0,6,5
37,Yes,625,1,46,10609,14922,No,0,17,14
45,No,805,4,57,4447,23163,No,0,9,9
29,No,1404,20,84,2157,18203,No,1,3,3
35,No,1219,18,86,4601,6179,No,0,5,5
52,No,1053,1,70,17099,13829,No,1,26,9
58,Yes,289,2,51,2479,26227,No,0,7,1
53,No,1376,2,45,14852,13938,No,1,22,17
30,No,231,8,62,7264,9977,No,1,10,8
38,No,152,10,85,5666,19899,Yes,0,6,5
35,No,882,3,92,7823,6812,No,1,12,10
39,No,903,2,41,7880,2560,No,0,9,8
40,Yes,1479,24,100,13194,17071,Yes,0,22,1
47,No,1379,16,64,5067,6759,Yes,0,20,19
36,No,1229,8,84,5079,25952,No,2,12,7
31,Yes,335,9,46,2321,10322,Yes,0,4,3
33,No,722,17,38,17444,20489,No,0,10,10
29,Yes,906,10,92,2404,11479,Yes,0,3,0
33,No,461,13,53,3452,17241,No,0,5,3
45,No,974,1,91,2270,11005,No,2,8,5
50,No,1126,1,66,17399,6615,No,1,32,5
33,No,827,1,84,5488,20161,Yes,1,6,6
41,No,840,9,64,19419,3735,No,1,21,18
27,No,1134,16,37,2811,12086,No,1,4,2
45,No,248,23,42,3633,14039,Yes,1,9,9
47,No,955,4,83,4163,8571,Yes,0,9,9
30,Yes,138,22,48,2132,11539,Yes,0,7,5
50,No,939,24,95,13973,4161,Yes,1,22,12
38,No,1391,10,66,2684,12127,No,1,3,2
46,No,566,7,75,10845,24208,No,1,13,8
24,No,1206,17,41,4377,24117,No,2,5,4
35,Yes,622,14,39,3743,10074,Yes,1,5,4
31,No,853,1,96,4148,11275,No,1,4,4
18,No,287,5,73,1051,13493,No,0,0,0
54,No,1441,17,56,10739,13943,No,1,22,10
35,No,583,25,57,10388,6975,Yes,1,16,16
30,No,153,8,73,11416,17802,Yes,3,9,8
20,Yes,1097,11,98,2600,18275,Yes,0,1,1
30,Yes,109,5,60,2422,25725,No,0,4,3
26,No,1066,2,32,5472,3334,No,0,8,8
22,No,217,8,94,2451,6881,No,1,4,4
48,No,277,6,97,4240,13119,No,0,19,2
48,No,1355,4,78,10999,22245,No,0,27,15
41,No,549,7,42,5003,23371,No,0,8,2
39,No,466,1,65,12742,7060,No,1,21,21
27,No,1055,2,47,4227,4658,No,1,4,3
35,No,802,10,45,3917,9541,No,1,3,3
42,No,265,5,90,18303,7770,No,0,21,1
50,No,804,9,64,2380,20165,No,0,8,1
59,No,715,2,69,13726,21829,Yes,0,30,5
37,Yes,1141,11,61,4777,14382,No,0,15,1
55,No,135,18,62,6385,12992,Yes,2,17,8
41,No,247,7,55,19973,20284,No,2,21,21
38,No,1035,3,42,6861,4981,Yes,0,19,1
26,Yes,265,29,79,4969,21813,No,0,7,2
52,Yes,266,2,57,19845,25846,No,1,33,32
44,No,1448,28,53,13320,11737,Yes,1,23,12
50,No,145,1,95,6347,24920,No,1,19,18
36,Yes,885,16,43,2743,8269,No,0,18,17
39,No,945,22,82,10880,5083,Yes,0,21,21
33,No,1038,8,88,2342,21437,No,0,3,2
45,No,1234,11,90,17650,5404,No,1,26,9
32,No,1109,29,69,4025,11135,No,0,10,8
34,No,216,1,75,9725,12278,No,1,16,15
59,No,1089,1,66,11904,11038,Yes,1,14,6
45,No,788,24,36,2177,8318,No,0,6,6
53,No,124,2,38,7525,23537,No,1,30,15
36,Yes,660,15,81,4834,7858,No,1,9,1
26,Yes,342,2,57,2042,15346,Yes,1,6,3
34,No,1333,10,87,2220,18410,Yes,1,1,1
28,No,1144,10,74,1052,23384,No,0,1,1
38,No,1186,3,44,2821,2997,No,1,8,2
50,No,1464,2,62,19237,12853,Yes,1,29,8
37,No,124,3,35,4107,13848,No,0,8,4
40,No,300,26,74,8396,22217,No,1,8,7
26,No,921,1,66,2007,25265,No,2,5,5
46,No,430,1,40,19627,21445,No,2,23,2
54,No,1082,2,41,10686,8392,No,1,13,9
56,No,1240,9,63,2942,12154,No,1,18,5
36,No,796,12,51,8858,15669,No,0,15,14
55,No,444,2,40,16756,17323,No,0,31,9
43,No,415,25,79,10798,5268,No,1,18,1
20,Yes,769,9,54,2323,17205,Yes,0,2,2
21,Yes,1334,10,36,1416,17258,No,0,1,1
46,No,1003,8,74,4615,21029,Yes,3,19,16
51,Yes,1323,4,34,2461,10332,Yes,3,18,10
28,Yes,1366,24,72,8722,12355,No,0,10,10
26,No,192,1,59,3955,11141,No,2,6,5
30,No,1176,20,85,9957,9096,No,1,7,6
41,No,509,7,43,3376,18863,No,0,10,10
38,No,330,17,65,8823,24608,No,1,20,19
40,No,1492,20,61,10322,26542,No,1,14,11
27,No,1277,8,87,4621,5869,No,3,3,3
55,No,1091,2,65,10976,15813,No,1,23,3
28,No,857,10,59,3660,7909,No,0,10,8
44,Yes,1376,1,91,10482,2326,No,1,24,20
33,No,654,5,34,7119,21214,No,1,9,3
35,Yes,1204,4,86,9582,10333,Yes,0,9,8
33,Yes,827,29,54,4508,3129,No,0,14,13
28,No,895,15,50,2207,22482,No,1,4,4
34,No,618,3,45,7756,22266,No,0,7,6
37,No,309,10,88,6694,24223,Yes,3,8,1
25,Yes,1219,4,32,3691,4605,Yes,1,7,7
26,Yes,1330,21,37,2377,19373,No,1,1,1
33,Yes,1017,25,55,2313,2993,Yes,0,5,2
42,No,469,2,35,17665,14399,No,1,23,22
28,Yes,1009,1,45,2596,7160,No,2,1,1
50,Yes,959,1,81,4728,17251,Yes,0,5,0
33,No,970,7,30,4302,13401,No,1,4,3
34,No,697,3,40,2979,22478,No,3,6,0
48,No,1262,1,35,16885,16154,No,0,27,5
45,No,1050,9,65,5593,17970,No,1,15,15
52,No,994,7,87,10445,15322,No,0,18,8
38,No,770,10,73,8740,5569,Yes,2,9,8
29,No,1107,28,93,2514,26968,No,1,11,7
28,No,950,3,93,7655,8039,No,3,10,9
46,No,406,3,52,17465,15596,No,1,23,12
38,No,130,2,32,7351,20619,No,0,10,1
43,No,1082,27,83,10820,11535,No,1,18,8
39,Yes,203,2,84,12169,13547,No,3,21,18
40,No,1308,14,44,19626,17544,No,0,21,20
21,No,984,1,70,2070,25326,Yes,0,2,2
39,No,439,9,70,6782,8770,No,0,9,5
36,No,217,18,78,7779,23238,No,0,18,11
31,No,793,20,67,2791,21981,No,1,3,2
28,No,1451,2,67,3201,19911,No,0,6,5
35,No,1182,11,54,4968,18500,No,1,5,5
49,No,174,8,56,13120,11879,No,1,22,9
34,No,1003,2,95,4033,15834,No,0,5,3
29,No,490,10,61,3291,17940,No,2,8,7
42,No,188,29,56,4272,9558,No,0,16,1
29,No,718,8,79,5056,17689,Yes,1,10,10
38,No,433,1,37,2844,6004,No,1,7,7
28,No,773,6,39,2703,22088,Yes,1,3,3
18,Yes,247,8,80,1904,13556,No,0,0,0
33,Yes,603,9,77,8224,18385,Yes,0,6,5
41,No,167,12,46,4766,9051,Yes,1,6,1
31,Yes,874,15,72,2610,6233,No,1,2,2
37,No,367,25,52,5731,17171,No,2,9,6
27,No,199,6,55,2539,7950,No,1,4,4
34,No,1400,9,70,5714,5829,No,0,6,6
35,No,528,8,100,4323,7108,No,0,6,5
29,Yes,408,23,45,7336,11162,No,1,11,11
40,No,593,9,88,13499,13782,No,0,20,18
42,Yes,481,12,44,13758,2447,Yes,0,22,21
42,No,647,4,45,5155,2253,No,0,9,6
35,No,982,1,58,2258,16340,No,1,10,8
24,No,477,24,49,3597,6409,No,0,6,4
28,Yes,1485,12,79,2515,22955,Yes,0,1,1
26,No,1384,3,82,4420,13421,No,1,8,8
30,No,852,10,72,6578,2706,No,1,10,10
40,No,902,26,92,4422,21203,Yes,1,16,1
35,No,819,2,44,10274,19588,No,1,15,7
34,No,669,1,97,5343,25755,No,0,14,13
35,No,636,4,47,2376,26537,No,1,2,2
43,Yes,1372,9,85,5346,9489,No,0,7,4
32,No,862,2,76,2827,14947,No,3,1,1
56,No,718,4,92,19943,18575,No,1,28,5
29,No,1401,6,54,3131,26342,No,1,10,10
19,No,645,9,54,2552,7172,No,0,1,1
45,No,1457,7,83,4477,20100,Yes,1,7,3
37,No,977,1,56,6474,9961,No,1,14,14
20,No,805,3,87,3033,12828,No,0,2,2
44,Yes,1097,10,96,2936,10826,Yes,0,6,6
53,No,1223,7,50,18606,18640,No,1,26,7
29,No,942,15,69,2168,26933,Yes,1,6,5
22,Yes,1256,3,48,2853,4223,Yes,1,1,0
46,No,1402,2,69,17048,24097,No,0,28,26
44,No,111,17,74,2290,4279,No,0,6,0
33,No,147,2,99,3600,8429,No,1,5,5
41,Yes,906,5,95,2107,20293,No,1,5,1
30,No,1329,29,61,4115,13192,No,3,8,4
40,No,1184,2,62,4327,25440,No,3,5,0
50,No,1421,2,30,17856,9490,No,1,32,2
28,No,1179,19,78,3196,12449,No,3,6,6
46,No,1450,15,52,19081,10849,No,1,25,4
35,No,1361,17,94,8966,21026,Yes,3,15,7
24,Yes,984,17,97,2210,3372,No,1,1,1
33,No,1146,25,82,4539,4905,No,1,10,10
36,No,917,6,60,2741,6865,No,1,7,7
30,No,853,7,49,3491,11309,No,3,10,10
44,No,200,29,32,4541,7744,No,0,20,20
20,No,654,21,43,2678,5050,No,0,2,2
46,No,150,2,60,7379,17433,No,1,12,6
42,No,179,2,79,6272,12858,No,1,10,4
60,No,696,7,52,5220,10893,Yes,1,12,11
32,No,116,13,77,2743,7331,No,1,2,2
32,No,1316,2,38,4998,2338,Yes,0,10,8
36,No,363,1,77,10252,4235,Yes,1,17,7
33,No,117,9,60,2781,6311,No,1,15,14
40,No,107,10,84,6852,11591,No,1,7,5
25,No,1356,10,57,4950,20623,No,0,5,4
30,No,1465,1,63,3579,9369,Yes,1,12,11
42,No,458,26,60,13191,23281,Yes,0,20,1
35,No,1212,8,78,10377,13755,Yes,1,16,13
27,No,1103,14,42,2235,14377,Yes,2,9,9
54,No,966,1,53,10502,9659,No,1,33,5
44,No,1117,2,72,2011,19982,No,1,10,10
19,Yes,504,10,96,1859,6148,Yes,0,1,1
29,No,1010,1,97,3760,5598,No,3,3,3
54,No,685,3,85,17779,23474,No,0,36,10
31,No,1332,11,80,6833,17089,Yes,0,6,6
31,No,1062,24,96,6812,17198,No,0,10,10
59,No,326,3,48,5171,16490,No,0,13,6
43,No,920,3,96,19740,18625,No,1,25,8
49,No,1098,4,85,18711,12124,No,1,23,1
36,No,469,3,46,3692,9256,No,0,12,11
48,No,969,2,76,2559,16620,No,0,7,1
27,No,1167,4,76,2517,3208,No,3,5,5
29,No,1329,7,82,6623,4204,Yes,2,6,6
48,No,715,1,76,18265,8733,No,0,25,1
29,No,694,1,87,16124,3423,No,2,9,7
34,No,1320,20,89,2585,21643,No,0,2,1
44,No,1099,5,88,18213,8751,No,1,26,22
33,No,536,10,82,8380,21708,Yes,2,10,9
19,No,265,25,57,2994,21221,Yes,0,1,1
23,No,373,1,47,1223,16901,No,1,1,1
25,Yes,599,24,73,1118,8040,Yes,0,1,1
26,No,583,4,53,2875,9973,Yes,0,8,8
45,Yes,1449,2,94,18824,2493,Yes,0,26,24
55,No,177,8,37,13577,25592,Yes,1,34,33
21,Yes,251,10,45,2625,25308,No,0,2,2
46,No,168,4,33,18789,9946,No,1,26,11
34,No,131,2,86,4538,6039,Yes,0,4,3
51,No,237,9,83,19847,19196,Yes,1,31,29
59,No,1429,18,67,10512,20002,No,0,25,9
34,No,135,19,46,4444,22534,No,2,15,11
28,No,791,1,44,2154,6842,Yes,0,5,4
44,No,1199,4,92,19190,17477,No,2,26,25
34,No,648,11,56,4490,21833,No,2,14,10
35,No,735,6,66,3506,6020,Yes,0,4,3
42,No,603,7,78,2372,5628,Yes,0,18,1
43,No,531,4,56,10231,20364,No,0,23,21
36,No,429,2,53,5410,2323,Yes,0,18,16
44,Yes,621,15,73,7978,14075,No,1,10,10
28,No,193,2,52,3867,14222,Yes,1,2,2
51,No,968,6,40,2838,4257,No,0,8,7
30,No,879,9,72,4695,12858,Yes,0,10,8
29,Yes,806,7,39,3339,17285,Yes,2,10,7
28,No,640,1,84,2080,4732,No,0,5,3
25,No,266,1,40,2096,18830,No,0,2,2
32,No,604,8,56,6209,11693,No,2,10,10
45,No,364,25,83,18061,13035,No,0,22,0
39,No,412,13,94,17123,17334,Yes,2,21,19
58,No,848,23,88,2372,26076,No,2,2,2
32,Yes,1089,7,79,4883,22845,No,1,10,10
39,Yes,360,23,93,3904,22154,No,0,6,5
30,No,1138,6,48,4627,23631,No,1,10,9
36,No,325,10,63,7094,5747,No,0,10,7
46,No,991,1,44,3423,22957,No,0,10,7
28,No,1476,1,55,6674,16392,No,3,10,9
50,No,1322,28,43,16880,22422,Yes,0,25,3
40,Yes,299,25,57,9094,17235,Yes,0,9,5
52,Yes,1030,5,64,8446,21534,Yes,0,10,8
30,No,634,17,95,11916,25927,Yes,2,9,9
39,No,524,18,32,4534,13352,No,0,9,8
31,No,587,2,57,9852,8935,Yes,1,10,10
41,No,256,10,40,6151,22074,No,0,19,19
31,Yes,1060,1,54,2302,8319,Yes,0,3,3
44,Yes,935,3,89,2362,14669,No,0,10,3
42,No,495,2,37,17861,26582,Yes,0,21,20
55,No,282,2,58,19187,6992,No,1,23,19
56,No,206,8,99,19717,4022,No,0,36,7
40,No,458,16,74,3544,8532,No,1,6,4
34,No,943,9,86,8500,5494,No,1,10,9
40,No,523,2,98,4661,22455,No,0,9,9
41,No,1018,1,66,4103,4297,No,1,10,9
35,No,482,4,87,4249,2690,Yes,0,9,9
51,No,770,5,84,14026,17588,Yes,1,33,33
38,No,1009,2,31,6893,19461,No,1,11,7
34,No,507,15,66,6125,23553,No,0,10,10
25,No,882,19,67,3669,9075,No,3,7,3
58,Yes,601,7,53,10008,12023,Yes,0,31,10
40,No,329,1,88,2387,6762,No,1,7,4
36,No,607,7,83,4639,2261,No,1,17,15
48,No,855,4,54,7898,18706,No,0,11,10
27,No,1291,11,98,2534,6527,No,1,5,1
51,No,1405,11,82,13142,24439,No,0,29,5
18,No,1124,1,97,1611,19305,No,0,0,0
35,No,817,1,60,5363,10846,No,1,10,9
27,No,793,2,43,5071,20392,No,0,8,6
55,Yes,267,13,85,13695,9277,Yes,0,24,19
56,No,1369,23,68,13402,18235,Yes,1,33,19
34,No,999,26,92,2029,15891,No,3,5,5
40,No,1202,2,89,6377,13888,No,3,15,12
34,No,285,29,86,5429,17491,No,2,10,8
31,Yes,703,2,90,2785,11882,No,0,3,1
35,Yes,662,18,67,4614,23288,Yes,1,5,4
38,No,693,7,57,2610,15748,No,3,4,4
34,No,404,2,98,6687,6163,No,0,14,14
28,No,736,26,48,4724,24232,No,1,5,5
31,Yes,330,22,98,6179,21057,Yes,2,10,10
39,No,1498,21,44,6120,3567,Yes,2,8,5
51,No,541,2,52,10596,15395,No,0,14,4
41,No,1200,22,75,5467,13953,Yes,2,12,6
37,No,1439,4,54,2996,5182,Yes,0,8,6
33,No,1111,5,61,9998,19293,No,0,8,5
32,No,499,2,36,4078,20497,Yes,3,4,3
39,No,1485,25,71,10920,3449,No,1,13,6
25,No,1372,18,93,6232,12477,No,0,6,3
52,No,322,28,59,13247,9731,Yes,1,24,5
43,No,930,6,73,4081,20003,Yes,0,20,20
27,No,205,10,98,5769,7100,Yes,0,6,6
27,Yes,135,17,51,2394,25681,Yes,0,8,8
26,No,683,2,36,3904,4050,No,0,5,4
42,No,1147,10,31,16799,16616,No,1,21,20
52,No,258,8,54,2950,17363,No,0,12,5
37,No,1462,11,94,3629,19106,No,0,8,3
35,No,200,18,60,9362,19944,No,0,10,2
25,No,949,1,81,3229,4910,No,1,7,3
26,No,652,7,100,3578,23577,No,0,8,7
29,No,332,17,51,7988,9769,No,0,10,10
49,Yes,1475,28,97,4284,22710,No,0,20,4
29,Yes,337,14,84,7553,22930,Yes,0,9,8
54,No,971,1,54,17328,5652,No,0,29,20
58,No,1055,1,76,19701,22456,Yes,1,32,9
55,No,1136,1,81,14732,12414,No,2,31,7
36,No,1174,3,99,9278,20763,Yes,0,15,5
31,Yes,667,1,50,1359,16154,No,0,1,1
30,No,855,7,73,4779,12761,No,2,8,3
31,No,182,8,93,16422,8847,No,0,9,3
34,No,560,1,91,2996,20284,No,2,10,4
31,Yes,202,8,34,1261,22262,No,0,1,1
27,No,1377,11,91,2099,7679,No,0,6,5
36,No,172,4,37,5810,22604,No,0,10,10
36,No,329,16,98,5647,13494,No,2,11,3
47,No,465,1,74,3420,10205,No,1,17,6
25,Yes,383,9,68,4400,15182,No,0,6,3
37,No,1413,5,84,3500,25470,No,0,7,6
56,No,1255,1,90,2066,10494,No,1,5,3
47,No,359,2,82,17169,26703,No,2,26,20
24,No,1476,4,42,4162,15211,Yes,2,5,5
32,No,601,7,97,9204,23343,No,1,7,4
34,No,401,1,86,3294,3708,No,1,7,5
41,No,1283,5,90,2127,5561,Yes,0,7,4
40,No,663,9,81,3975,23099,No,2,11,8
31,No,326,8,31,10793,8386,No,1,13,13
46,Yes,377,9,52,10096,15986,No,1,28,7
39,Yes,592,2,54,3646,17181,Yes,0,11,1
31,Yes,1445,1,100,7446,8931,No,0,10,10
45,No,1038,20,95,10851,19863,Yes,1,24,7
31,No,1398,8,96,2109,24609,No,0,8,3
31,Yes,523,2,94,3722,21081,Yes,1,7,2
45,No,1448,29,55,9380,14720,Yes,2,10,3
48,No,1221,7,96,5486,24795,No,3,15,2
34,Yes,1107,9,52,2742,3072,No,0,2,2
40,No,218,8,55,13757,25178,No,1,16,9
28,No,866,5,84,8463,23490,No,0,6,5
44,No,981,5,90,3162,7973,No,0,7,5
53,No,447,2,39,16598,19764,No,0,35,9
49,No,1495,5,96,6651,21534,No,1,20,3
40,No,896,2,68,2345,8045,No,1,8,3
44,No,1467,20,49,3420,21158,No,0,6,5
33,No,430,7,54,4373,17456,No,2,5,4
34,No,1326,3,81,4759,15891,No,0,15,13
30,No,1358,16,96,5301,2939,No,2,4,2
42,No,748,9,74,3673,16458,No,0,12,12
44,No,383,1,79,4768,9282,No,1,11,1
30,No,990,7,64,1274,7152,No,2,1,1
57,No,405,1,93,4900,2721,No,1,13,12
49,No,1490,7,35,10466,20948,No,2,29,8
34,No,829,15,71,17007,11929,No,2,16,14
28,Yes,1496,1,92,2909,15747,No,1,5,3
29,Yes,115,13,51,5765,17485,No,0,7,5
34,Yes,790,24,40,4599,7815,Yes,0,16,15
35,No,660,7,76,2404,16192,No,1,1,1
24,Yes,381,9,89,3172,16998,Yes,0,4,0
24,No,830,13,78,2033,7103,No,1,1,1
44,No,1193,2,86,10209,19719,Yes,0,16,2
29,No,1246,19,77,8620,23757,No,2,10,10
30,No,330,1,46,2064,15428,No,1,6,5
55,No,1229,4,30,4035,16143,Yes,0,4,3
33,No,1099,4,82,3838,8192,No,0,8,5
47,No,571,14,78,4591,24200,Yes,1,11,5
28,Yes,289,2,38,2561,5355,No,0,8,0
28,No,1423,1,72,1563,12530,No,1,1,1
28,No,467,7,55,4898,11827,No,0,5,4
49,No,271,3,43,4789,23070,No,1,10,3
29,No,410,2,97,3180,4668,No,3,4,3
28,No,1083,29,96,6549,3173,No,2,8,8
33,No,516,8,69,6388,22049,Yes,0,14,0
32,No,495,10,64,11244,21072,No,0,10,5
54,No,1050,11,87,16032,24456,No,1,26,14
29,Yes,224,1,100,2362,7568,No,0,11,9
44,No,136,28,32,16328,22074,No,1,24,20
39,No,1089,6,32,8376,9150,No,0,9,2
46,No,228,3,51,16606,11380,No,1,23,13
35,No,1029,16,91,8606,21195,No,0,11,11
23,No,507,20,97,2272,24812,No,0,5,4
40,Yes,676,9,86,2018,21831,No,0,15,5
34,No,971,1,64,7083,12288,Yes,0,10,10
31,Yes,561,3,33,4084,4156,No,0,7,7
50,No,333,22,88,14411,24450,Yes,0,32,32
34,No,1440,7,55,2308,4944,Yes,1,12,11
42,No,1210,2,68,4841,24052,No,1,4,1
37,No,674,13,47,4285,3031,No,0,10,10
29,No,441,8,39,9715,7288,No,1,9,7
33,No,575,25,44,4320,24152,No,0,5,5
45,No,950,28,97,2132,4585,No,1,8,5
42,No,288,2,40,10124,18611,Yes,1,24,20
40,No,1342,9,47,5473,19345,No,0,9,8
33,No,589,28,79,5207,22949,Yes,1,15,15
40,No,898,6,38,16437,17381,Yes,0,21,21
